year;city;country;avg_temp;avg_temp_3sma
1991;Sydney;Australia;17.85;17.54
1992;Sydney;Australia;16.89;17.52666667
1993;Sydney;Australia;17.42;17.40333333
1994;Sydney;Australia;17.36;17.38666667
1995;Sydney;Australia;16.95;17.22333333
1996;Sydney;Australia;17.05;17.24333333
1997;Sydney;Australia;17.51;17.12
1998;Sydney;Australia;18.05;17.17
1999;Sydney;Australia;17.55;17.53666667
2000;Sydney;Australia;17.57;17.70333333
2001;Sydney;Australia;17.85;17.72333333
2002;Sydney;Australia;17.73;17.65666667
2003;Sydney;Australia;17.59;17.71666667
2004;Sydney;Australia;17.87;17.72333333
2005;Sydney;Australia;18.03;17.73
2006;Sydney;Australia;17.75;17.83
2007;Sydney;Australia;18.02;17.88333333
2008;Sydney;Australia;17.32;17.93333333
2009;Sydney;Australia;18.18;17.69666667
2010;Sydney;Australia;18;17.84
2011;Sydney;Australia;17.71;17.83333333
2012;Sydney;Australia;17.47;17.96333333
2013;Sydney;Australia;18.09;17.72666667
