year;city;country;avg_temp;avg_temp_3sma
1989;Omaha;United States;10;11.53
1990;Omaha;United States;11.45;11.11333333
1991;Omaha;United States;11.15;10.90666667
1992;Omaha;United States;10.82;10.86666667
1993;Omaha;United States;9.29;11.14
1994;Omaha;United States;10.68;10.42
1995;Omaha;United States;10.46;10.26333333
1996;Omaha;United States;9.27;10.14333333
1997;Omaha;United States;10.39;10.13666667
1998;Omaha;United States;12.03;10.04
1999;Omaha;United States;11.63;10.56333333
2000;Omaha;United States;11.29;11.35
2001;Omaha;United States;11.51;11.65
2002;Omaha;United States;11.41;11.47666667
2003;Omaha;United States;10.9;11.40333333
2004;Omaha;United States;11.09;11.27333333
2005;Omaha;United States;11.78;11.13333333
2006;Omaha;United States;12.18;11.25666667
2007;Omaha;United States;11.35;11.68333333
2008;Omaha;United States;9.79;11.77
2009;Omaha;United States;10.02;11.10666667
2010;Omaha;United States;10.82;10.38666667
2011;Omaha;United States;10.92;10.21
2012;Omaha;United States;13.08;10.58666667
2013;Omaha;United States;12.56;11.60666667
